日期,产品线,销售额,成本,利润,利润率
2024-01-01,智能手表,2453,1226.5,1226.5,0.5
2024-01-01,无线耳机,2433,1216.5,1216.5,0.5
2024-01-01,平板电脑,4432,2659.2,1772.8000000000002,0.4
2024-01-02,智能手表,2856,1428.0,1428.0,0.5
2024-01-02,无线耳机,3272,1636.0,1636.0,0.5
2024-01-02,平板电脑,5122,3073.2,2048.8,0.4
2024-01-03,智能手表,3126,1563.0,1563.0,0.5
2024-01-03,无线耳机,3190,1595.0,1595.0,0.5
2024-01-03,平板电脑,5486,3291.6,2194.4,0.4
2024-01-04,智能手表,2703,1351.5,1351.5,0.5
2024-01-04,无线耳机,3271,1635.5,1635.5,0.5
2024-01-04,平板电脑,4455,2673.0,1782.0,0.4
2024-01-05,智能手表,2687,1343.5,1343.5,0.5
2024-01-05,无线耳机,2811,1405.5,1405.5,0.5
2024-01-05,平板电脑,4203,2521.7999999999997,1681.2000000000003,0.4000000000000001
2024-01-06,智能手表,4070,2035.0,2035.0,0.5
2024-01-06,无线耳机,5096,2548.0,2548.0,0.5
2024-01-06,平板电脑,7147,4288.2,2858.8,0.4
2024-01-07,智能手表,5049,2524.5,2524.5,0.5
2024-01-07,无线耳机,4583,2291.5,2291.5,0.5
2024-01-07,平板电脑,6124,3674.4,2449.6,0.39999999999999997
2024-01-08,智能手表,3129,1564.5,1564.5,0.5
2024-01-08,无线耳机,2922,1461.0,1461.0,0.5
2024-01-08,平板电脑,5704,3422.4,2281.6,0.39999999999999997
2024-01-09,智能手表,3182,1591.0,1591.0,0.5
2024-01-09,无线耳机,3583,1791.5,1791.5,0.5
2024-01-09,平板电脑,4682,2809.2,1872.8000000000002,0.4
2024-01-10,智能手表,3316,1658.0,1658.0,0.5
2024-01-10,无线耳机,3426,1713.0,1713.0,0.5
2024-01-10,平板电脑,4589,2753.4,1835.6,0.39999999999999997
2024-01-11,智能手表,2637,1318.5,1318.5,0.5
2024-01-11,无线耳机,2409,1204.5,1204.5,0.5
2024-01-11,平板电脑,4251,2550.6,1700.4,0.4
2024-01-12,智能手表,3469,1734.5,1734.5,0.5
2024-01-12,无线耳机,2668,1334.0,1334.0,0.5
2024-01-12,平板电脑,5664,3398.4,2265.6,0.39999999999999997
2024-01-13,智能手表,5366,2683.0,2683.0,0.5
2024-01-13,无线耳机,3994,1997.0,1997.0,0.5
2024-01-13,平板电脑,6385,3831.0,2554.0,0.4
2024-01-14,智能手表,3834,1917.0,1917.0,0.5
2024-01-14,无线耳机,4709,2354.5,2354.5,0.5
2024-01-14,平板电脑,7308,4384.8,2923.2,0.39999999999999997
2024-01-15,智能手表,3326,1663.0,1663.0,0.5
2024-01-15,无线耳机,3259,1629.5,1629.5,0.5
2024-01-15,平板电脑,4096,2457.6,1638.4,0.4
2024-01-16,智能手表,3447,1723.5,1723.5,0.5
2024-01-16,无线耳机,3489,1744.5,1744.5,0.5
2024-01-16,平板电脑,4751,2850.6,1900.4,0.4
2024-01-17,智能手表,3581,1790.5,1790.5,0.5
2024-01-17,无线耳机,3152,1576.0,1576.0,0.5
2024-01-17,平板电脑,4971,2982.6,1988.4,0.4
2024-01-18,智能手表,2420,1210.0,1210.0,0.5
2024-01-18,无线耳机,2761,1380.5,1380.5,0.5
2024-01-18,平板电脑,4991,2994.6,1996.4,0.4
2024-01-19,智能手表,2878,1439.0,1439.0,0.5
2024-01-19,无线耳机,2515,1257.5,1257.5,0.5
2024-01-19,平板电脑,5237,3142.2,2094.8,0.4
2024-01-20,智能手表,4912,2456.0,2456.0,0.5
2024-01-20,无线耳机,3808,1904.0,1904.0,0.5
2024-01-20,平板电脑,7787,4672.2,3114.8,0.4
2024-01-21,智能手表,4785,2392.5,2392.5,0.5
2024-01-21,无线耳机,5143,2571.5,2571.5,0.5
2024-01-21,平板电脑,6112,3667.2,2444.8,0.4
2024-01-22,智能手表,2545,1272.5,1272.5,0.5
2024-01-22,无线耳机,3130,1565.0,1565.0,0.5
2024-01-22,平板电脑,4084,2450.4,1633.6,0.39999999999999997
2024-01-23,智能手表,2517,1258.5,1258.5,0.5
2024-01-23,无线耳机,3247,1623.5,1623.5,0.5
2024-01-23,平板电脑,4819,2891.4,1927.6,0.39999999999999997
2024-01-24,智能手表,3170,1585.0,1585.0,0.5
2024-01-24,无线耳机,3144,1572.0,1572.0,0.5
2024-01-24,平板电脑,4092,2455.2,1636.8000000000002,0.4
2024-01-25,智能手表,3163,1581.5,1581.5,0.5
2024-01-25,无线耳机,2573,1286.5,1286.5,0.5
2024-01-25,平板电脑,4237,2542.2,1694.8000000000002,0.4
2024-01-26,智能手表,2432,1216.0,1216.0,0.5
2024-01-26,无线耳机,3147,1573.5,1573.5,0.5
2024-01-26,平板电脑,4456,2673.6,1782.4,0.4
2024-01-27,智能手表,4018,2009.0,2009.0,0.5
2024-01-27,无线耳机,4544,2272.0,2272.0,0.5
2024-01-27,平板电脑,7503,4501.8,3001.2,0.39999999999999997
2024-01-28,智能手表,5318,2659.0,2659.0,0.5
2024-01-28,无线耳机,4238,2119.0,2119.0,0.5
2024-01-28,平板电脑,7723,4633.8,3089.2,0.39999999999999997
2024-01-29,智能手表,3327,1663.5,1663.5,0.5
2024-01-29,无线耳机,3016,1508.0,1508.0,0.5
2024-01-29,平板电脑,5969,3581.4,2387.6,0.39999999999999997
2024-01-30,智能手表,2494,1247.0,1247.0,0.5
2024-01-30,无线耳机,3311,1655.5,1655.5,0.5
2024-01-30,平板电脑,4017,2410.2,1606.8000000000002,0.4
2024-01-31,智能手表,3354,1677.0,1677.0,0.5
2024-01-31,无线耳机,3430,1715.0,1715.0,0.5
2024-01-31,平板电脑,4964,2978.4,1985.6,0.39999999999999997
2024-02-01,智能手表,2801,1400.5,1400.5,0.5
2024-02-01,无线耳机,2576,1288.0,1288.0,0.5
2024-02-01,平板电脑,4856,2913.6,1942.4,0.4
2024-02-02,智能手表,3292,1646.0,1646.0,0.5
2024-02-02,无线耳机,2792,1396.0,1396.0,0.5
2024-02-02,平板电脑,4312,2587.2,1724.8000000000002,0.4
2024-02-03,智能手表,5260,2630.0,2630.0,0.5
2024-02-03,无线耳机,3974,1987.0,1987.0,0.5
2024-02-03,平板电脑,8763,5257.8,3505.2,0.39999999999999997
2024-02-04,智能手表,4067,2033.5,2033.5,0.5
2024-02-04,无线耳机,5346,2673.0,2673.0,0.5
2024-02-04,平板电脑,8497,5098.2,3398.8,0.4
2024-02-05,智能手表,3217,1608.5,1608.5,0.5
2024-02-05,无线耳机,2499,1249.5,1249.5,0.5
2024-02-05,平板电脑,4395,2637.0,1758.0,0.4
2024-02-06,智能手表,2489,1244.5,1244.5,0.5
2024-02-06,无线耳机,3572,1786.0,1786.0,0.5
2024-02-06,平板电脑,5642,3385.2,2256.8,0.4
2024-02-07,智能手表,2419,1209.5,1209.5,0.5
2024-02-07,无线耳机,3210,1605.0,1605.0,0.5
2024-02-07,平板电脑,5492,3295.2,2196.8,0.4
2024-02-08,智能手表,2819,1409.5,1409.5,0.5
2024-02-08,无线耳机,2610,1305.0,1305.0,0.5
2024-02-08,平板电脑,4957,2974.2,1982.8000000000002,0.4
2024-02-09,智能手表,2450,1225.0,1225.0,0.5
2024-02-09,无线耳机,2968,1484.0,1484.0,0.5
2024-02-09,平板电脑,4120,2472.0,1648.0,0.4
2024-02-10,智能手表,3654,1827.0,1827.0,0.5
2024-02-10,无线耳机,4094,2047.0,2047.0,0.5
2024-02-10,平板电脑,6277,3766.2,2510.8,0.4
2024-02-11,智能手表,5051,2525.5,2525.5,0.5
2024-02-11,无线耳机,4851,2425.5,2425.5,0.5
2024-02-11,平板电脑,7008,4204.8,2803.2,0.39999999999999997
2024-02-12,智能手表,2558,1279.0,1279.0,0.5
2024-02-12,无线耳机,3549,1774.5,1774.5,0.5
2024-02-12,平板电脑,4859,2915.4,1943.6,0.39999999999999997
2024-02-13,智能手表,2947,1473.5,1473.5,0.5
2024-02-13,无线耳机,2626,1313.0,1313.0,0.5
2024-02-13,平板电脑,5323,3193.7999999999997,2129.2000000000003,0.4000000000000001
2024-02-14,智能手表,3478,1739.0,1739.0,0.5
2024-02-14,无线耳机,2462,1231.0,1231.0,0.5
2024-02-14,平板电脑,5052,3031.2,2020.8000000000002,0.4
2024-02-15,智能手表,2807,1403.5,1403.5,0.5
2024-02-15,无线耳机,2827,1413.5,1413.5,0.5
2024-02-15,平板电脑,5279,3167.4,2111.6,0.39999999999999997
2024-02-16,智能手表,2769,1384.5,1384.5,0.5
2024-02-16,无线耳机,2564,1282.0,1282.0,0.5
2024-02-16,平板电脑,5939,3563.4,2375.6,0.39999999999999997
2024-02-17,智能手表,4610,2305.0,2305.0,0.5
2024-02-17,无线耳机,4842,2421.0,2421.0,0.5
2024-02-17,平板电脑,7491,4494.599999999999,2996.4000000000005,0.4000000000000001
2024-02-18,智能手表,3827,1913.5,1913.5,0.5
2024-02-18,无线耳机,5114,2557.0,2557.0,0.5
