日期,产品线,销售额,成本,利润,利润率
2024-01-01,智能手表,2829,1414.5,1414.5,0.5
2024-01-01,无线耳机,3027,1513.5,1513.5,0.5
2024-01-01,平板电脑,4984,2990.4,1993.6,0.39999999999999997
2024-01-02,智能手表,2863,1431.5,1431.5,0.5
2024-01-02,无线耳机,2878,1439.0,1439.0,0.5
2024-01-02,平板电脑,5348,3208.7999999999997,2139.2000000000003,0.4000000000000001
2024-01-03,智能手表,2904,1452.0,1452.0,0.5
2024-01-03,无线耳机,3405,1702.5,1702.5,0.5
2024-01-03,平板电脑,5649,3389.4,2259.6,0.39999999999999997
2024-01-04,智能手表,2687,1343.5,1343.5,0.5
2024-01-04,无线耳机,3528,1764.0,1764.0,0.5
2024-01-04,平板电脑,4637,2782.2,1854.8000000000002,0.4
2024-01-05,智能手表,3003,1501.5,1501.5,0.5
2024-01-05,无线耳机,2604,1302.0,1302.0,0.5
2024-01-05,平板电脑,4763,2857.7999999999997,1905.2000000000003,0.4000000000000001
2024-01-06,智能手表,4212,2106.0,2106.0,0.5
2024-01-06,无线耳机,3691,1845.5,1845.5,0.5
2024-01-06,平板电脑,8658,5194.8,3463.2,0.39999999999999997
2024-01-07,智能手表,3938,1969.0,1969.0,0.5
2024-01-07,无线耳机,4686,2343.0,2343.0,0.5
2024-01-07,平板电脑,6154,3692.3999999999996,2461.6000000000004,0.4000000000000001
2024-01-08,智能手表,2989,1494.5,1494.5,0.5
2024-01-08,无线耳机,2753,1376.5,1376.5,0.5
2024-01-08,平板电脑,5234,3140.4,2093.6,0.39999999999999997
2024-01-09,智能手表,2869,1434.5,1434.5,0.5
2024-01-09,无线耳机,3099,1549.5,1549.5,0.5
2024-01-09,平板电脑,5420,3252.0,2168.0,0.4
2024-01-10,智能手表,3593,1796.5,1796.5,0.5
2024-01-10,无线耳机,3024,1512.0,1512.0,0.5
2024-01-10,平板电脑,4907,2944.2,1962.8000000000002,0.4
2024-01-11,智能手表,2876,1438.0,1438.0,0.5
2024-01-11,无线耳机,3100,1550.0,1550.0,0.5
